year,state,district,rape,attempt_to_rape,gang_rape,murder_with_rape,kidnapping_and_abduction,dowry_deaths,dowry_prohibition_act,cruelty_by_husband_or_relatives_498A,acid_attack,attempt_to_acid_attack,assault_on_women_modesty_354,assault_intent_disrobe_354B,voyeurism_354C,stalking_354D,insult_to_modesty_509,trafficking,procuration_of_minor_girls,importation_of_girls,immoral_traffic_act,indecent_representation_of_women,women_killed_in_honour_killing,witch_hunting,cyber_crime_obscenity_against_women,cyber_stalking_bullying_against_women,child_marriage_prohibition_act,pocso_rape,pocso_assault,pocso_harassment,pocso_unnatural_offences,pocso_other,abduction_for_marriage,abduction_for_illicit_intercourse,attempt_to_kidnap,domestic_violence_act_cases,abetment_to_suicide_women,attempt_to_murder_women,insult_outraging_modesty_other,sexual_harassment_workplace,dowry_harassment,marital_rape_reports,total_cases
2001,Gujarat,Gujarat District 2,7,10,10,7,17,8,0,15,4,1,19,3,4,2,4,11,8,4,4,7,5,5,4,5,6,5,2,3,6,5,7,4,4,3,3,7,11,4,5,2,497
2001,Gujarat,Gujarat District 3,5,5,7,8,14,6,4,16,9,5,20,3,6,5,4,6,7,5,8,5,5,2,6,7,3,4,2,7,9,6,4,7,2,5,4,4,6,10,4,8,513
2001,Gujarat,Gujarat District 4,11,8,9,4,11,7,7,7,5,3,12,3,12,4,3,4,4,7,3,4,4,4,9,6,2,8,5,5,8,7,6,8,3,5,3,3,3,4,4,4,473
2001,Gujarat,Gujarat District 5,8,7,10,4,12,3,4,15,4,3,26,3,9,6,5,7,3,4,5,3,3,8,8,4,5,7,7,1,5,4,7,7,4,7,9,5,3,2,3,3,501
2001,Gujarat,Gujarat District 6,2,6,5,6,20,6,3,10,7,1,15,4,3,9,4,1,5,8,8,4,3,9,4,5,8,6,6,4,4,2,1,2,8,8,3,6,4,10,6,4,502
2001,Gujarat,Gujarat District 7,4,4,5,6,23,11,8,18,5,9,12,6,5,5,4,7,3,5,5,2,3,5,10,4,4,5,2,7,5,10,6,6,3,1,3,7,11,7,6,5,528
2001,Gujarat,Gujarat District 8,7,6,3,8,12,5,3,17,6,2,23,5,5,9,2,4,5,5,4,4,5,8,10,4,5,7,2,4,3,4,5,11,6,3,3,7,3,14,4,6,514
2001,Gujarat,Gujarat District 9,4,4,7,1,12,4,4,14,6,7,16,7,4,9,2,6,10,2,2,6,6,5,4,7,4,2,3,5,3,6,3,8,9,3,5,4,3,5,5,5,506
2001,Gujarat,Gujarat District 10,5,4,4,8,9,4,5,5,3,4,17,6,5,6,6,2,1,5,7,3,4,3,8,3,7,7,5,4,4,2,8,6,6,7,6,8,2,7,5,10,488
2001,Gujarat,Gujarat District 11,5,9,3,4,17,9,1,15,4,7,15,5,11,6,5,9,5,3,2,4,1,7,3,3,4,2,6,5,6,5,4,6,6,6,4,7,13,5,6,3,492
2001,Gujarat,Gujarat District 12,1,7,3,1,18,4,5,15,4,4,13,6,4,6,4,4,2,5,6,4,6,9,6,5,10,8,5,11,3,10,13,3,4,6,4,6,4,4,6,6,529
2001,Gujarat,Gujarat District 13,4,3,6,6,13,3,2,19,3,3,12,7,3,7,4,3,7,9,4,6,5,6,4,6,5,6,3,6,5,4,8,4,5,7,6,10,3,2,5,9,492
2001,Gujarat,Gujarat District 14,4,9,2,4,23,7,6,13,8,8,13,7,6,5,7,5,2,8,5,7,3,9,8,4,6,4,2,4,8,6,2,3,4,3,9,5,8,5,8,5,509
2001,Gujarat,Gujarat District 15,5,4,4,3,11,9,5,10,6,6,13,3,3,11,11,6,8,4,9,3,6,9,2,8,8,7,6,2,5,6,6,8,2,4,5,6,5,5,6,9,520
2001,Gujarat,Gujarat District 16,3,3,7,3,16,7,5,14,2,6,13,5,9,7,3,7,5,6,4,3,8,2,4,10,6,3,2,2,3,6,7,4,6,3,6,5,6,7,6,2,519
2001,Gujarat,Gujarat District 17,3,5,5,7,16,5,3,10,3,2,19,6,5,7,12,5,5,1,5,3,9,8,5,4,4,5,4,3,4,5,4,1,5,4,8,5,7,3,8,4,492
2001,Haryana,Haryana District 1,10,12,11,12,20,13,10,21,10,12,25,6,12,7,13,7,8,4,12,9,8,13,12,6,12,11,10,5,7,10,19,11,5,8,17,9,13,11,10,7,962
2001,Haryana,Haryana District 2,7,13,7,8,22,2,12,14,10,10,26,11,4,7,9,10,9,6,7,11,6,10,12,9,6,9,8,10,10,13,18,6,15,9,8,9,8,11,8,9,927
2001,Haryana,Haryana District 3,14,17,10,13,24,11,11,20,13,10,24,18,11,11,14,6,9,12,13,14,10,7,10,11,15,8,9,13,6,6,8,8,11,8,11,16,9,7,17,10,991
2001,Haryana,Haryana District 4,11,11,8,11,15,13,13,22,11,15,10,14,9,10,9,6,9,7,8,5,11,10,10,10,11,8,12,8,11,13,12,11,6,14,11,9,8,4,11,12,918
2001,Haryana,Haryana District 5,7,7,6,9,13,12,10,20,11,11,17,5,11,10,8,15,17,7,11,9,13,15,11,15,10,18,7,10,11,15,8,13,5,8,12,9,13,8,12,10,974
2001,Haryana,Haryana District 6,12,9,7,8,19,6,6,20,14,10,29,8,8,8,12,13,12,6,12,10,11,7,14,14,7,9,7,16,12,11,7,7,8,13,6,9,4,7,7,8,902
2001,Haryana,Haryana District 7,9,11,7,10,26,16,11,20,10,6,21,5,11,16,15,9,6,8,10,6,11,10,12,8,12,6,18,12,7,8,7,9,12,8,17,8,8,12,10,10,955
2001,Haryana,Haryana District 8,17,8,18,9,15,13,9,15,10,4,21,5,13,13,11,9,9,11,8,9,5,9,13,5,10,11,16,11,8,6,9,5,7,9,8,12,10,11,9,12,880
2001,Haryana,Haryana District 9,14,7,7,13,23,6,10,26,11,11,19,12,6,11,13,6,6,9,10,7,10,15,5,11,10,12,15,13,7,12,16,8,8,12,14,13,6,14,11,9,950
2001,Haryana,Haryana District 10,11,3,11,11,16,7,10,25,10,14,22,12,11,7,15,9,11,10,12,7,6,10,11,7,7,10,8,8,12,13,12,15,10,15,8,10,8,9,12,7,953
2001,Himachal Pradesh,Himachal District 1,6,2,8,9,17,3,5,14,4,3,12,5,3,4,5,7,7,2,9,4,3,6,5,9,4,2,7,7,8,5,6,6,2,2,7,7,3,5,5,3,490
2001,Himachal Pradesh,Himachal District 2,7,3,4,6,15,7,6,14,4,3,16,5,8,10,4,6,4,5,5,9,5,3,4,9,9,12,3,6,7,2,9,4,5,5,5,3,2,3,6,3,531
2001,Himachal Pradesh,Himachal District 3,7,4,8,2,15,6,10,19,4,11,12,7,3,2,5,2,3,2,3,7,7,3,8,5,4,4,3,7,4,7,10,5,5,6,3,7,4,4,1,5,483
2001,Himachal Pradesh,Himachal District 4,5,5,8,8,20,1,6,15,3,5,11,2,3,3,7,10,7,5,3,5,7,6,8,8,5,4,2,6,3,6,12,3,8,5,6,7,4,8,5,5,512
2001,Himachal Pradesh,Himachal District 5,0,5,6,1,22,5,6,18,5,3,17,6,3,8,9,6,4,7,4,4,5,2,3,7,5,5,2,6,7,5,7,6,3,4,7,2,8,5,1,4,508
2001,Himachal Pradesh,Himachal District 6,4,5,5,6,13,4,5,9,7,5,17,6,5,5,6,8,3,8,3,5,9,8,7,2,10,4,5,5,5,4,4,6,4,8,2,3,3,4,2,8,475
2001,Himachal Pradesh,Himachal District 7,7,2,5,6,15,4,3,15,1,4,9,2,4,3,8,5,6,7,9,10,4,2,2,3,8,4,6,5,1,6,8,3,7,6,1,3,5,7,2,8,509
2001,Himachal Pradesh,Himachal District 8,5,3,7,4,14,6,8,16,4,2,8,8,5,9,8,5,8,8,8,1,2,7,1,4,8,3,4,4,4,3,3,4,4,6,9,7,7,9,0,4,503
2001,Himachal Pradesh,Himachal District 9,7,9,7,5,14,7,6,17,3,9,8,5,9,8,5,4,4,5,1,2,4,9,8,0,4,7,5,7,5,6,2,1,6,3,4,4,7,8,7,5,500
2001,Himachal Pradesh,Himachal District 10,4,2,5,4,14,7,3,13,6,3,9,5,5,3,6,12,3,9,7,3,2,3,10,5,5,4,5,6,5,5,6,6,7,8,3,7,3,4,8,7,505
2001,Himachal Pradesh,Himachal District 11,6,4,6,7,17,5,3,15,8,4,13,9,6,6,6,3,3,5,5,2,2,6,6,6,9,5,5,8,4,5,7,6,9,11,4,4,4,6,4,4,498
2001,Himachal Pradesh,Himachal District 12,6,6,7,4,13,0,5,19,2,5,14,6,4,4,5,1,6,2,6,6,4,5,9,3,13,4,0,1,4,8,9,2,7,8,6,8,7,6,5,7,530
2001,Himachal Pradesh,Himachal District 13,1,3,2,4,17,2,7,15,2,3,13,9,0,4,2,5,5,5,9,6,4,6,5,6,5,4,7,10,5,7,1,5,5,4,0,5,3,5,9,6,512
2001,Himachal Pradesh,Himachal District 14,4,8,4,11,15,7,3,21,6,6,13,3,5,3,5,2,4,6,4,6,11,6,6,7,10,6,6,7,5,10,5,6,2,7,5,6,3,5,6,11,539
2001,Jammu and Kashmir,Jammu District 1,9,2,4,6,20,7,1,19,5,3,12,3,4,9,4,2,4,7,10,5,8,1,5,7,6,6,3,3,3,6,6,6,8,5,5,7,4,6,4,9,495
2001,Jammu and Kashmir,Jammu District 2,8,11,6,2,19,7,6,14,7,6,8,5,6,4,7,1,5,6,4,6,7,7,7,4,6,4,6,10,8,4,4,7,4,4,3,2,3,3,2,13,505
2001,Jammu and Kashmir,Jammu District 3,5,3,4,10,18,4,3,21,5,3,15,2,6,6,6,4,2,5,5,3,7,4,4,3,4,3,6,10,10,2,4,6,5,4,4,4,3,4,6,5,499
2001,Jammu and Kashmir,Jammu District 4,8,6,4,2,10,8,3,11,2,5,12,6,3,3,9,9,4,2,8,6,3,5,5,3,2,7,4,5,7,4,7,9,7,5,1,3,11,10,7,5,512
2001,Jammu and Kashmir,Jammu District 5,7,5,14,3,14,7,4,7,7,9,19,5,4,4,5,1,7,4,8,7,10,4,7,9,5,5,7,7,7,8,6,3,9,8,3,1,7,1,3,4,534
